dominio;interno;servicios;anioModelo;cantAsientos;empresaNro;cuit;razonSocial;vigenciaHastaInspeccionTecnica;tecnicaNro;tipoTecnica;categoriaAprob;CarroceriaMarca;CarroceriaModelo;expOrig;expModif;disposicion;tacografoMarca;tacografoNro;linea;chasisNro;chasisMarca;chasisModelo;accesibilidad;jurisdiccion;aireAcondicionado;vigenciaHasta
AE094JH;9321;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";18/02/2027;328070;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC6761ALM001458;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094JI;9320;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";27/01/2027;323695;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001459;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094JJ;9324;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";27/01/2027;323686;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001455;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094JK;9325;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";08/01/2027;301020;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001454;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094JL;9323;"SERVICIO COMÚN";2020;28;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";31/01/2027;323777;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65132/2016;;0057/16;;;164;8BBC67B1ALM001456;AGRALE;"MT 17.0 LE 6000";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KL;9309;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";01/03/2027;329307;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002871;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KM;9307;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";27/02/2027;328247;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002869;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KN;9301;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";24/01/2027;323652;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002863;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KO;9308;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";14/02/2027;327449;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002870;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KP;9306;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";13/02/2027;327416;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002868;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KQ;9304;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";24/01/2027;323654;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002866;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KR;9305;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";27/01/2027;324513;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002867;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KS;9303;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";31/01/2027;323769;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002865;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KT;9302;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";24/01/2027;323648;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002864;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KV;9318;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";04/03/2027;337568;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002880;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
AE094KW;9316;"SERVICIO COMÚN";2020;25;2062;33546610719;"GENERAL TOMAS GUIDO S.A.C.I.F.";28/02/2027;329291;CENT;"URBANO PISO BAJO MOVILIDAD REDUCIDA CON AIRE ACONDICIONADO";TODOBUS;;65134/2016;;0056/16;;;164;8BBC59B1ALM002878;AGRALE;"MT 15.0 LE Euro V";SI;JN:NACIONAL;SI;UC:2030-12-31
